dim	coefficient
342	0.0755111
343	0.09781514
344	-0.0074584186
345	-0.07462643
346	-0.17201018
347	-0.1390413
348	0.06963986
349	-0.19031616
350	-0.10853842
351	-0.14251286
352	0.16419822
353	0.12474445
354	-0.027205598
355	0.15226671
356	0.07567039
357	-0.08310224
358	-0.180251
359	-0.055812523
360	0.022292387
361	0.026259787
362	0.17068309
363	-0.14397335
364	-0.030332189
365	0.04509712
366	-0.10672963
367	-0.12685856
368	0.00967662
369	0.21683079
370	0.03746048
371	0.3016103
372	-0.12481661
373	-0.024285547
374	-0.123333745
375	0.2438411
376	-0.057405226
377	0.02923205
378	-0.08789575
379	0.12445094
380	0.013434103
381	-0.11401788
382	0.05567707
383	-0.3874026
